class_id,class_name,Instances,YOLOv11_baseline_Predictions,YOLOv11_baseline_Precision,YOLOv11_baseline_Recall,YOLOv11_baseline_AP50,YOLOv11_baseline_AP50-95,ECAFA_YOLO_Predictions,ECAFA_YOLO_Precision,ECAFA_YOLO_Recall,ECAFA_YOLO_AP50,ECAFA_YOLO_AP50-95,ECAFA_YOLO_KD_Predictions,ECAFA_YOLO_KD_Precision,ECAFA_YOLO_KD_Recall,ECAFA_YOLO_KD_AP50,ECAFA_YOLO_KD_AP50-95,AP50-95_improvement_ECAFA_vs_baseline,AP50-95_improvement_KD_vs_baseline,AP50-95_improvement_KD_vs_ECAFA,AP50_improvement_KD_vs_baseline,AP50_improvement_KD_vs_ECAFA
37,pne,279,1219,0.21410992616899097,0.9354838709677419,0.9110977743045432,0.660949133538446,1063,0.2530573847601129,0.96415770609319,0.9526621920231827,0.6854078500558616,837,0.3201911589008363,0.9605734767025089,0.9620949067825614,0.704209534092248,0.024458716517415602,0.04326040055380198,0.01880168403638638,0.05099713247801818,0.00943271475937868
38,pr60,2,72,0.027777777777777776,1.0,0.1421428571428571,0.10397916666666665,67,0.029850746268656716,1.0,0.606111111111111,0.5240389718076284,37,0.02702702702702703,0.5,0.25439189189189193,0.17807432432432435,0.42005980514096175,0.0740951576576577,-0.345964647483304,0.11224903474903483,-0.3517192192192191
39,ph4.5,25,261,0.07662835249042145,0.8,0.5040328291589132,0.41824053375885245,249,0.08835341365461848,0.88,0.7287647328615592,0.5943122776040679,171,0.13450292397660818,0.92,0.7203530003367614,0.6168529253722136,0.17607174384521546,0.19861239161336114,0.022540647768145683,0.2163201711778482,-0.008411732524797766
40,p12,22,661,0.030257186081694403,0.9090909090909091,0.4874191311253253,0.39101632853289725,376,0.05319148936170213,0.9090909090909091,0.43689510013158545,0.3566670245512146,352,0.05965909090909091,0.9545454545454546,0.5803884265100863,0.47221103745722726,-0.03434930398168268,0.08119470892433,0.11554401290601268,0.09296929538476095,0.14349332637850082
41,p3,24,236,0.09322033898305085,0.9166666666666666,0.8341010155074384,0.6858560090577108,285,0.07719298245614035,0.9166666666666666,0.8572693935832136,0.7371678357115238,169,0.1301775147928994,0.9166666666666666,0.883837954353339,0.7589349042150715,0.05131182665381295,0.07307889515736066,0.021767068503547704,0.04973693884590058,0.02656856077012537
42,pl5,62,668,0.08532934131736528,0.9193548387096774,0.609794578422537,0.43382779293213447,586,0.09215017064846416,0.8709677419354839,0.6939567223224103,0.4895062701254136,482,0.12240663900414937,0.9516129032258065,0.7875481008844337,0.5661382252741444,0.05567847719327912,0.1323104323420099,0.07663195514873078,0.17775352246189668,0.09359137856202338
43,w13,18,223,0.06726457399103139,0.8333333333333334,0.48760126010013893,0.384118537355273,163,0.10429447852760736,0.9444444444444444,0.7243163718797918,0.5312287686322998,106,0.1509433962264151,0.8888888888888888,0.765839144833094,0.5710152971525578,0.14711023127702683,0.18689675979728482,0.03978652852025799,0.2782378847329551,0.0415227729533022
44,p14,4,266,0.015037593984962405,1.0,0.029598540145985393,0.020476957095982743,251,0.01593625498007968,1.0,0.6366666666666666,0.48005677290836646,120,0.03333333333333333,1.0,0.40499999999999997,0.31606904761904764,0.4595798158123837,0.2955920905230649,-0.16398772528931882,0.3754014598540146,-0.23166666666666663
45,i4l,48,481,0.08316008316008316,0.8333333333333334,0.6616592856622969,0.4593559665493093,402,0.1044776119402985,0.875,0.8030663517163943,0.572652303334143,245,0.17551020408163265,0.8958333333333334,0.8570917003551888,0.5991358811412604,0.11329633678483364,0.13977991459195105,0.02648357780711741,0.19543241469289185,0.05402534863879449
46,pr30,2,68,0.014705882352941176,0.5,0.011249999999999998,0.008999999999999998,59,0.01694915254237288,0.5,0.07503631961259083,0.06753268765133175,44,0.045454545454545456,1.0,0.398,0.32887954545454545,0.05853268765133175,0.31987954545454544,0.2613468578032137,0.38675000000000004,0.3229636803874092
47,p17,4,60,0.06666666666666667,1.0,0.945,0.8311499999999998,73,0.0547945205479452,1.0,0.995,0.877554794520548,61,0.06557377049180328,1.0,0.995,0.858639344262295,0.04640479452054813,0.027489344262295212,-0.01891545025825292,0.050000000000000044,0.0
48,ph3,3,110,0.01818181818181818,0.6666666666666666,0.47006000000000003,0.329042,144,0.020833333333333332,1.0,0.4567117117117119,0.3660523845720722,87,0.022988505747126436,0.6666666666666666,0.6688689655172415,0.5522263793103449,0.037010384572072175,0.2231843793103449,0.18617399473827273,0.19880896551724148,0.21215725380552963
49,pt,1,155,0.0064516129032258064,1.0,0.012756410256410257,0.01148076923076923,187,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,-0.01148076923076923,-0.01148076923076923,0.0,-0.012756410256410257,0.0
50,pl30,77,916,0.07205240174672489,0.8571428571428571,0.4810138544644573,0.38853149047696384,809,0.08405438813349815,0.8831168831168831,0.5943524275792125,0.46245490709945447,650,0.10615384615384615,0.8961038961038961,0.6512425401057356,0.515901150001679,0.07392341662249063,0.12736965952471518,0.05344624290222455,0.17022868564127824,0.056890112526523096
51,pctl,1,56,0.0,0.0,0.0,0.0,69,0.014492753623188406,1.0,0.995,0.49749999999999994,44,0.022727272727272728,1.0,0.4975,0.24874999999999997,0.49749999999999994,0.24874999999999997,-0.24874999999999997,0.4975,-0.4975
52,pr50,2,83,0.012048192771084338,0.5,0.4980722891566265,0.3984578313253012,45,0.022222222222222223,0.5,0.5006666666666666,0.4005333333333333,41,0.04878048780487805,1.0,0.695,0.5559999999999999,0.002075502008032082,0.15754216867469872,0.15546666666666664,0.19692771084337346,0.19433333333333336
53,pm35,1,123,0.008130081300813009,1.0,0.06633333333333333,0.053066666666666665,138,0.007246376811594203,1.0,0.995,0.8955,32,0.03125,1.0,0.995,0.8955,0.8424333333333333,0.8424333333333333,0.0,0.9286666666666666,0.0
54,i1,1,66,0.015151515151515152,1.0,0.995,0.6965,63,0.015873015873015872,1.0,0.995,0.796,35,0.02857142857142857,1.0,0.995,0.8955,0.09950000000000003,0.19899999999999995,0.09949999999999992,0.0,0.0
55,pcd,2,119,0.008403361344537815,0.5,0.49714285714285716,0.49714285714285716,220,0.00909090909090909,1.0,0.1809090909090909,0.13100909090909094,94,0.02127659574468085,1.0,0.995,0.746313829787234,-0.36613376623376626,0.24917097264437688,0.6153047388781431,0.49785714285714283,0.8140909090909091
56,pbp,13,275,0.04363636363636364,0.9230769230769231,0.38053265680632054,0.28769888972265034,237,0.05485232067510549,1.0,0.8400046728971963,0.5885804128602873,160,0.08125,1.0,0.8031281512605042,0.5527258209312135,0.30088152313763694,0.26502693120856313,-0.03585459192907381,0.42259549445418365,-0.03687652163669208
57,pcr,3,135,0.022222222222222223,1.0,0.4041666666666668,0.2855404545454546,121,0.024793388429752067,1.0,0.11691985244802146,0.08451084476556307,74,0.04054054054054054,1.0,0.368,0.2944,-0.20102960977989154,0.00885954545454537,0.2098891552344369,-0.03616666666666679,0.25108014755197855
58,ps,3,158,0.012658227848101266,0.6666666666666666,0.03405848432199884,0.024796077190369817,171,0.017543859649122806,1.0,0.11867441860465114,0.05426064871481027,93,0.03225806451612903,1.0,0.665,0.33124347670250903,0.02946457152444045,0.30644739951213923,0.27698282798769874,0.6309415156780012,0.5463255813953489
59,w18,1,56,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,p10,54,925,0.04972972972972973,0.8518518518518519,0.47222865531274333,0.3766186656904799,747,0.06693440428380187,0.9259259259259259,0.5637642433884205,0.4353347199321617,543,0.09576427255985268,0.9629629629629629,0.6636453663412344,0.5247568127260616,0.0587160542416818,0.14813814703558165,0.08942209279389984,0.19141671102849106,0.09988112295281393
61,pn,392,1288,0.27639751552795033,0.9081632653061225,0.8889273184646429,0.64795926472275,1229,0.3124491456468674,0.9795918367346939,0.9521987250287463,0.6988860473144364,961,0.4006243496357961,0.9821428571428571,0.9655919482258591,0.7127804421781668,0.05092678259168637,0.06482117745541682,0.013894394863730453,0.07666462976121624,0.013393223197112891
62,pa14,9,139,0.05755395683453238,0.8888888888888888,0.7183770383693046,0.6016366366906476,131,0.061068702290076333,0.8888888888888888,0.7960877983763479,0.6967928522961346,76,0.11842105263157894,1.0,0.9143333333333333,0.7775107111528821,0.09515621560548704,0.17587407446223446,0.08071785885674743,0.19595629496402878,0.11824553495698542
63,p2,2,127,0.015748031496062992,1.0,0.028695121951219513,0.025825609756097562,122,0.00819672131147541,0.5,0.04016708701134931,0.03213366960907944,78,0.02564102564102564,1.0,0.028028169014084503,0.02344664138678223,0.006308059852981881,-0.002378968369315334,-0.008687028222297215,-0.0006669529371350104,-0.012138917997264805
64,ph2.5,1,76,0.013157894736842105,1.0,0.033166666666666664,0.033166666666666664,63,0.015873015873015872,1.0,0.24875,0.24874999999999997,45,0.022222222222222223,1.0,0.05852941176470587,0.058529411764705865,0.2155833333333333,0.0253627450980392,-0.1902205882352941,0.025362745098039208,-0.19022058823529414
65,w55,22,298,0.0738255033557047,1.0,0.46426092458635615,0.32621257062724124,211,0.0995260663507109,0.9545454545454546,0.8020035453301393,0.5797271285795658,167,0.12574850299401197,0.9545454545454546,0.8631303829407483,0.6545645566386941,0.2535145579523245,0.3283519860114528,0.0748374280591283,0.39886945835439214,0.061126837610609
66,pw3,1,49,0.0,0.0,0.0,0.0,72,0.013888888888888888,1.0,0.995,0.398,62,0.016129032258064516,1.0,0.33166666666666667,0.199,0.398,0.199,-0.199,0.33166666666666667,-0.6633333333333333
67,pw4.5,1,20,0.0,0.0,0.0,0.0,54,0.018518518518518517,1.0,0.02618421052631579,0.02356578947368421,51,0.0196078431372549,1.0,0.4975,0.398,0.02356578947368421,0.398,0.3744342105263158,0.4975,0.4713157894736842
68,i12,3,43,0.046511627906976744,0.6666666666666666,0.39782790697674425,0.3182623255813954,63,0.047619047619047616,1.0,0.7411538461538465,0.5858419780219782,48,0.0625,1.0,0.7887500000000001,0.6418434375000001,0.26757965244058285,0.32358111191860467,0.05600145947802182,0.3909220930232558,0.047596153846153566
69,phclr,1,43,0.023255813953488372,1.0,0.4975,0.44775,63,0.015873015873015872,1.0,0.995,0.8955,48,0.020833333333333332,1.0,0.995,0.8955,0.44775,0.44775,0.0,0.4975,0.0
70,i10,4,102,0.0392156862745098,1.0,0.6965845070422535,0.3847865921016294,207,0.01932367149758454,1.0,0.42110062893081757,0.2997625558290037,126,0.023809523809523808,0.75,0.4830952380952381,0.33346031746031746,-0.08502403627262572,-0.05132627464131195,0.03369776163131377,-0.21348926894701542,0.06199460916442051
71,i13,2,110,0.00909090909090909,0.5,0.1673181818181818,0.0836590909090909,128,0.0078125,0.5,0.49699218750000007,0.4472929687500001,94,0.010638297872340425,0.5,0.49771276595744673,0.4479414893617021,0.36363387784090917,0.3642823984526112,0.0006485206117020081,0.3303945841392649,0.0007205784574466634
